"","Year","sets","BUM","lat","lon","hbf","season"
"380",2002,33,1,-32.5,7.5,10,3
"381",2002,5,0,-11.5,7.5,10,3
"382",2003,20,0,-7.5,-2.5,10,1
"383",2003,25,1,-27.5,12.5,10,4
"384",2003,9,5,-1.5,-28.5,10,4
"385",2003,20,1,-15.5,1.5,10,4
"386",2003,15,15,-8.5,-22.5,10,1
"387",2003,20,3,-4.5,-1.5,10,1
"388",2003,23,13,-22.5,1.5,10,2
"389",2003,1,0,-37.5,-9.5,10,2
"390",2003,20,0,-40.5,17.5,10,2
"391",2003,20,0,-43.5,19.5,10,2
"392",2003,20,0,-41.5,8.5,10,2
"393",2003,20,0,-44.5,7.5,10,2
"394",2003,15,0,-40.5,9.5,10,3
"395",2004,20,6,-14.5,-4.5,10,1
"396",2004,20,0,-19.5,10.5,10,4
"397",2004,20,6,-4.5,-1,10,4
"398",2004,49,14,-8.5,-12.5,10,1
"399",2004,48,11,-7.5,-7.5,10,1
"400",2004,20,10,-0.5,-6.5,10,1
"401",2004,6,1,-11.5,-2,10,2
"402",2004,20,0,-19,11,10,3
"403",2004,20,3,-28.5,6.5,10,3
"404",2005,20,7,-5.5,-8.5,10,1
"405",2005,10,7,-8.5,-22.5,10,4
"406",2005,64,25,-2,-2.5,10,4
"407",2005,28,7,-3.5,-2.5,10,2
"408",2005,17,0,-41.5,-7.5,10,2
"409",2005,1,0,-35.5,14.5,10,3
"410",2006,46,4,-12.5,-7.5,10,1
"411",2006,14,0,-38,18,10,4
"412",2006,2,2,-8,-11,10,4
"413",2006,28,20,-2,-22.5,10,4
"414",2006,26,11,-2,-27.5,10,4
"415",2006,6,0,-12.5,-2.5,10,4
"416",2006,32,20,-7.5,-22.5,10,2
"417",2007,20,4,-18.5,1.5,10,4
"418",2007,20,1,-7.5,11.5,10,4
"419",2007,20,2,-6.5,10.5,10,4
"420",2007,20,2,-3.5,-13.5,10,4
"421",2007,13,4,-0.5,-6.5,10,4
"422",2007,20,1,-3.5,9.5,10,3
"423",2007,20,3,-0.5,7.5,10,3
"424",2007,20,0,-3.5,5.5,10,3
"425",2007,20,3,-3.5,8.5,10,3
"426",2007,41,2,-31.5,6.5,10,3
"427",2008,20,0,-18.5,8.5,10,4
"428",2008,20,0,-16.5,8,10,4
"429",2008,2,0,-39,11.5,10,4
"430",2008,67,1,-17.5,10.5,10,4
"431",2008,20,2,-8.5,-3.5,10,4
"432",2008,20,4,-8.5,2.5,10,4
"433",2008,20,4,-14.5,-6.5,10,1
"434",2008,20,3,-11.5,-5.5,10,1
"435",2008,20,2,-36.5,18.5,10,2
"436",2008,20,0,-41.5,3.5,10,2
"437",2008,6,0,-32,3,10,3
"438",2008,20,0,-41.5,19.5,10,3
"439",2008,20,0,-43.5,16.5,10,3
"440",2008,2,0,-2.5,-19,10,3
"441",2008,66,6,-27.5,2.5,10,3
"442",2009,20,13,-6.5,-15.5,10,1
"443",2009,20,2,-8.5,-6.5,10,1
"444",2009,20,0,-6.5,11.5,10,4
"445",2009,31,5,-2.5,-12.5,10,4
"446",2009,20,3,-7.5,-4,10,4
"447",2009,20,0,-16.5,10.5,10,3
"448",2009,4,0,-28,7.5,10,3
"449",2009,20,0,-8.5,11,10,3
"450",2010,20,0,-10.5,-3.5,10,1
"451",2010,6,0,-1.5,-1.5,10,1
"452",2010,20,0,-19.5,7.5,10,4
"453",2010,20,1,-16.5,6.5,10,4
